rate_date,base_currency,EUR,GBP,JPY,CAD,MXN,AUD,BRL,CHF
2023-02-02,USD,0.9341,0.7888,147.9003,1.3433,16.9584,1.5544,5.0301,0.8948
2023-02-03,USD,0.905,0.8039,148.0823,1.345,17.229,1.5172,4.9146,0.8832
2023-02-06,USD,0.9029,0.7844,146.7802,1.3572,17.0581,1.5479,4.9573,0.8852
2023-02-07,USD,0.9056,0.7811,149.8855,1.3365,17.5142,1.5588,5.0651,0.9117
2023-02-08,USD,0.9272,0.7892,149.5513,1.3585,16.9148,1.5271,4.9918,0.9037
2023-02-09,USD,0.9196,0.7991,147.0239,1.3777,17.3399,1.5323,4.9106,0.8906
2023-02-10,USD,0.9094,0.7876,148.5763,1.3685,17.4906,1.5482,5.0239,0.8845
2023-02-13,USD,0.9147,0.7783,147.3405,1.3708,16.9619,1.5073,5.0376,0.9043
2023-02-14,USD,0.9053,0.7897,152.1957,1.3343,16.9161,1.5099,4.8797,0.8944
2023-02-15,USD,0.9283,0.8012,150.6419,1.3574,17.3034,1.516,4.9794,0.9035
2023-02-16,USD,0.9107,0.7965,147.1988,1.3634,17.2495,1.5331,4.9427,0.8832
2023-02-17,USD,0.9067,0.7844,148.8817,1.3466,17.3663,1.523,4.9963,0.8963
2023-02-20,USD,0.9348,0.803,151.7595,1.3334,17.2074,1.5368,5.059,0.9109
2023-02-21,USD,0.9041,0.79,147.5779,1.3836,16.8582,1.5467,5.0104,0.9146
2023-02-22,USD,0.9168,0.779,149.7197,1.3424,17.3844,1.5195,4.9393,0.9003
2023-02-23,USD,0.9134,0.7802,147.2831,1.35,17.0388,1.5418,4.9012,0.8842
2023-02-24,USD,0.9113,0.7907,148.2771,1.386,17.3457,1.509,5.0245,0.8916
2023-02-27,USD,0.9316,0.7839,152.4735,1.36,17.4584,1.5281,4.9596,0.9096
2023-02-28,USD,0.931,0.8027,151.6127,1.3844,17.4242,1.5048,4.9984,0.8832
2023-03-01,USD,0.9382,0.7987,151.1353,1.3679,17.4506,1.54,4.9147,0.913
2023-03-02,USD,0.9029,0.7829,149.6723,1.3515,17.5283,1.5275,4.9048,0.8836
2023-03-03,USD,0.9355,0.8056,150.4499,1.351,17.5259,1.5574,4.9337,0.8952
2023-03-06,USD,0.9252,0.8048,147.9269,1.3431,17.1146,1.5024,5.0677,0.9105
2023-03-07,USD,0.9188,0.7973,151.7392,1.371,17.357,1.538,5.0619,0.9085
2023-03-08,USD,0.9376,0.7816,148.2489,1.3343,17.3124,1.5454,5.0215,0.8946
2023-03-09,USD,0.9342,0.7961,147.0787,1.3402,16.8632,1.5471,4.9722,0.9135
2023-03-10,USD,0.9375,0.7811,150.7704,1.3799,17.0825,1.5034,5.0237,0.905
2023-03-13,USD,0.9119,0.7947,151.4131,1.352,17.3545,1.5221,5.0373,0.8873
2023-03-14,USD,0.9341,0.8031,149.113,1.3698,17.4415,1.5583,5.0678,0.8888
2023-03-15,USD,0.9295,0.8056,149.8038,1.357,16.9734,1.5039,4.9097,0.8887
2023-03-16,USD,0.9198,0.7801,151.1891,1.3492,17.2325,1.5,4.8755,0.8918
2023-03-17,USD,0.9096,0.7833,148.8615,1.3834,17.4204,1.53,5.0148,0.9108
2023-03-20,USD,0.9326,0.79,149.4612,1.3591,17.0459,1.5142,4.9228,0.8981
2023-03-21,USD,0.9267,0.7826,152.0123,1.3759,17.0372,1.5141,5.0344,0.9178
2023-03-22,USD,0.9351,0.7788,149.8145,1.341,17.3229,1.5344,4.9317,0.9021
2023-03-23,USD,0.9222,0.7978,152.2558,1.3518,17.1223,1.5219,4.9802,0.8976
2023-03-24,USD,0.934,0.7942,152.1275,1.3697,17.2536,1.5578,5.0625,0.9157
2023-03-27,USD,0.9017,0.7995,150.5803,1.3772,16.9202,1.5252,4.9143,0.9096
2023-03-28,USD,0.9254,0.7867,147.7837,1.3387,16.9825,1.5515,5.0186,0.9109
2023-03-29,USD,0.9118,0.7983,148.8225,1.3484,17.0777,1.5521,5.046,0.8958
2023-03-30,USD,0.926,0.7848,150.6842,1.3334,17.313,1.5296,4.9992,0.8921
2023-03-31,USD,0.9286,0.7767,151.911,1.3725,17.2562,1.5062,5.0204,0.8986
2023-04-03,USD,0.9099,0.7965,151.5104,1.3777,17.4101,1.5464,4.9321,0.9045
2023-04-04,USD,0.9044,0.7918,150.6263,1.3418,17.0764,1.5164,4.9973,0.89
2023-04-05,USD,0.936,0.7858,151.7581,1.3519,17.2817,1.5044,4.9724,0.8931
2023-04-06,USD,0.9235,0.785,146.5806,1.3405,17.3587,1.5196,5.0178,0.9086
2023-04-07,USD,0.926,0.792,149.1328,1.3533,16.9147,1.5227,4.9333,0.8822
2023-04-10,USD,0.9347,0.7907,147.1856,1.3652,17.4379,1.5264,4.9909,0.8862
2023-04-11,USD,0.9153,0.783,151.0255,1.3344,17.0639,1.5303,5.0647,0.9157
2023-04-12,USD,0.9371,0.7756,150.4798,1.3798,16.9627,1.5495,5.0154,0.8872
2023-04-13,USD,0.911,0.7747,151.2682,1.3751,17.0194,1.5074,5.0381,0.8917
2023-04-14,USD,0.9238,0.8051,148.2779,1.3503,16.969,1.5477,4.9443,0.8848
2023-04-17,USD,0.9165,0.8006,148.2938,1.3663,17.3649,1.5079,4.9901,0.9109
2023-04-18,USD,0.9283,0.8037,151.5356,1.371,16.8797,1.512,4.8895,0.8841
2023-04-19,USD,0.9067,0.7873,147.8877,1.3797,17.1107,1.5361,5.0227,0.8993
2023-04-20,USD,0.9288,0.805,152.1307,1.3494,17.288,1.555,4.9717,0.9161
2023-04-21,USD,0.9184,0.8046,148.7285,1.3686,17.4437,1.5191,4.9429,0.9094
2023-04-24,USD,0.9228,0.7856,147.6868,1.3665,16.9682,1.5342,5.0666,0.9012
2023-04-25,USD,0.93,0.8041,150.4832,1.3666,16.8841,1.5166,5.0671,0.891
2023-04-26,USD,0.9283,0.8033,149.9811,1.3372,17.4316,1.5352,4.9094,0.9008
2023-04-27,USD,0.915,0.8026,146.8117,1.3538,17.2308,1.5409,4.8709,0.8935
2023-04-28,USD,0.9333,0.7868,147.3556,1.348,16.9427,1.5068,4.9667,0.8902
2023-05-01,USD,0.9341,0.7831,148.8137,1.3727,17.0363,1.543,5.008,0.9021
2023-05-02,USD,0.932,0.7839,148.6835,1.3569,16.9018,1.5572,4.9307,0.9107
2023-05-03,USD,0.91,0.7971,150.9694,1.3478,17.5375,1.5448,4.9444,0.908
2023-05-04,USD,0.9057,0.7759,151.4623,1.3869,16.9449,1.5306,4.9988,0.8875
2023-05-05,USD,0.9058,0.7774,146.8164,1.3376,17.5132,1.5306,5.0554,0.9147
2023-05-08,USD,0.9269,0.7834,150.4278,1.3328,17.2981,1.5186,4.9942,0.9162
2023-05-09,USD,0.9027,0.7775,149.7505,1.3505,16.9685,1.5046,4.8984,0.91
2023-05-10,USD,0.9066,0.7755,150.7934,1.3841,16.9449,1.5339,5.0232,0.9029
2023-05-11,USD,0.9343,0.8036,148.0127,1.3427,16.9315,1.5524,5.0503,0.91
2023-05-12,USD,0.9308,0.7746,149.5933,1.3845,17.53,1.5504,4.8997,0.9152
2023-05-15,USD,0.903,0.7745,150.9164,1.3526,17.4696,1.5578,4.8929,0.9059
2023-05-16,USD,0.922,0.7945,151.7639,1.3443,17.3701,1.5296,5.0596,0.8922
2023-05-17,USD,0.9126,0.7902,150.0439,1.3575,16.9626,1.5422,5.0032,0.9029
2023-05-18,USD,0.9042,0.787,151.1585,1.3726,17.1385,1.5402,4.948,0.8961
2023-05-19,USD,0.9247,0.78,149.0834,1.3691,17.3625,1.5308,4.8976,0.9167
2023-05-22,USD,0.9201,0.7945,151.1427,1.3536,17.3362,1.5085,4.9443,0.905
2023-05-23,USD,0.9202,0.7843,148.8657,1.3811,17.5002,1.5255,4.9389,0.9102
2023-05-24,USD,0.9125,0.7903,148.2639,1.3422,16.8769,1.5206,4.9234,0.886
2023-05-25,USD,0.9379,0.7804,147.7019,1.3805,16.9783,1.5404,5.0235,0.8988
2023-05-26,USD,0.9257,0.7995,146.7032,1.3431,17.1659,1.5561,4.9366,0.892
2023-05-29,USD,0.9078,0.8041,151.945,1.3379,17.4966,1.51,4.9151,0.9178
2023-05-30,USD,0.9369,0.7976,149.6712,1.3671,16.8762,1.5451,4.9918,0.8826
2023-05-31,USD,0.9112,0.7789,152.0907,1.3792,17.1561,1.5409,4.9192,0.9054
2023-06-01,USD,0.9169,0.7803,150.2487,1.3612,16.947,1.5323,5.0066,0.8873
2023-06-02,USD,0.938,0.8016,146.5528,1.3707,16.9217,1.5086,4.8925,0.9087
2023-06-05,USD,0.9078,0.7895,150.127,1.3607,17.1096,1.5343,4.951,0.9047
2023-06-06,USD,0.9044,0.777,152.033,1.3803,17.2352,1.5004,4.9039,0.886
2023-06-07,USD,0.9036,0.805,152.273,1.3443,16.8706,1.5145,4.9457,0.9109
2023-06-08,USD,0.9061,0.79,151.3248,1.3418,16.9128,1.534,5.0305,0.9046
2023-06-09,USD,0.9244,0.7994,149.5789,1.343,16.8567,1.5006,4.9619,0.8868
2023-06-12,USD,0.9265,0.7783,151.3481,1.3646,17.4971,1.5351,4.8818,0.8975
2023-06-13,USD,0.9016,0.7904,147.6879,1.3673,17.4267,1.5049,4.945,0.8889
2023-06-14,USD,0.9234,0.8003,152.3873,1.3377,17.3025,1.5066,5.037,0.9096
2023-06-15,USD,0.9069,0.7828,152.4602,1.3658,17.0146,1.5045,4.939,0.9113
2023-06-16,USD,0.9086,0.8053,151.6253,1.339,17.2634,1.5227,4.9915,0.8946
2023-06-19,USD,0.9149,0.7838,150.0641,1.3369,17.4959,1.5331,5.0593,0.902
2023-06-20,USD,0.9351,0.7898,147.9209,1.3395,17.342,1.5107,4.9149,0.9144
2023-06-21,USD,0.9114,0.7947,150.6848,1.3573,17.2508,1.5581,4.8813,0.8916
2023-06-22,USD,0.9279,0.7961,152.2965,1.348,17.3187,1.537,5.0303,0.8974
2023-06-23,USD,0.9286,0.7965,149.3484,1.3809,17.3761,1.5517,4.9221,0.8935
2023-06-26,USD,0.9097,0.7768,150.3134,1.3847,17.1954,1.5548,5.066,0.8855
2023-06-27,USD,0.9321,0.8012,151.112,1.3577,17.2099,1.5395,5.0336,0.9081
2023-06-28,USD,0.9215,0.7885,152.2027,1.3745,17.0901,1.5023,4.995,0.8848
2023-06-29,USD,0.9079,0.7808,151.7154,1.3607,17.3701,1.5135,4.9543,0.8935
2023-06-30,USD,0.9243,0.7897,149.7987,1.3442,16.9572,1.5126,4.9358,0.8822
2023-07-03,USD,0.9042,0.7848,148.5942,1.3413,17.4774,1.5478,5.043,0.9123
2023-07-04,USD,0.9361,0.7849,150.7397,1.3688,16.9107,1.5015,5.0092,0.9016
2023-07-05,USD,0.9377,0.7755,149.4048,1.3754,17.1879,1.5071,4.9716,0.8856
2023-07-06,USD,0.9286,0.7925,149.8468,1.3603,16.8617,1.531,4.9817,0.8837
2023-07-07,USD,0.9353,0.7812,149.7819,1.3671,16.925,1.5449,4.9146,0.9141
2023-07-10,USD,0.9101,0.7749,148.8742,1.3432,17.1953,1.5339,4.9502,0.8846
2023-07-11,USD,0.9078,0.7926,146.5206,1.34,17.3547,1.5031,4.9641,0.891
2023-07-12,USD,0.9122,0.7834,151.3812,1.3657,17.2736,1.5385,4.8931,0.8876
2023-07-13,USD,0.9045,0.7983,149.1571,1.3726,17.2945,1.5441,4.9709,0.9114
2023-07-14,USD,0.9116,0.8013,146.5224,1.3597,17.2517,1.5044,4.9908,0.8911
2023-07-17,USD,0.9079,0.7846,150.6503,1.3687,16.8974,1.5291,4.9124,0.906
2023-07-18,USD,0.9378,0.7992,151.6132,1.3642,17.246,1.5318,4.8774,0.8936
2023-07-19,USD,0.9033,0.7836,151.9153,1.3447,16.9237,1.5544,4.9951,0.8975
2023-07-20,USD,0.9026,0.7851,147.1388,1.3701,16.8953,1.5186,5.0585,0.8891
2023-07-21,USD,0.9296,0.8045,150.5901,1.3419,17.0253,1.5221,4.9124,0.9096
2023-07-24,USD,0.9144,0.791,150.1408,1.3396,17.2342,1.5229,5.0347,0.8886
2023-07-25,USD,0.9225,0.7827,149.5962,1.3794,17.1303,1.5304,4.9291,0.8966
2023-07-26,USD,0.9257,0.791,148.0308,1.3567,17.0094,1.5372,4.9802,0.9024
2023-07-27,USD,0.9255,0.7768,149.0569,1.3856,17.5126,1.5565,4.8989,0.8885
2023-07-28,USD,0.9064,0.7905,146.9859,1.3777,17.4304,1.5006,4.8945,0.9011
2023-07-31,USD,0.9319,0.8045,147.3767,1.3742,17.4716,1.5062,4.9261,0.9153
2023-08-01,USD,0.9376,0.7808,146.7055,1.3843,17.3916,1.5029,4.9412,0.9085
2023-08-02,USD,0.9326,0.7829,151.4342,1.3799,16.9565,1.5265,5.012,0.8983
2023-08-03,USD,0.9244,0.8033,147.2574,1.3606,17.0447,1.5562,4.8722,0.9167
2023-08-04,USD,0.9068,0.791,147.2785,1.342,16.8739,1.5364,4.9235,0.8834
2023-08-07,USD,0.9203,0.8029,147.2656,1.3864,17.1781,1.5417,4.9648,0.8927
2023-08-08,USD,0.9167,0.797,150.7643,1.3856,16.9952,1.5212,5.0346,0.8851
2023-08-09,USD,0.908,0.7889,147.0052,1.3805,17.3296,1.5002,4.9367,0.8856
2023-08-10,USD,0.9355,0.7986,150.9745,1.3583,17.4848,1.5087,4.8843,0.8865
2023-08-11,USD,0.9297,0.7983,150.0284,1.3834,17.0479,1.5501,4.8879,0.9136
2023-08-14,USD,0.9162,0.7915,150.2514,1.3785,16.9844,1.5283,5.0017,0.9128
2023-08-15,USD,0.9284,0.8011,152.3552,1.3599,17.181,1.5157,4.9956,0.9107
2023-08-16,USD,0.9117,0.7956,151.7919,1.3824,17.4425,1.5043,4.9338,0.9093
2023-08-17,USD,0.9087,0.7874,150.5732,1.3593,17.5432,1.5489,4.8914,0.9078
2023-08-18,USD,0.9166,0.7822,147.1279,1.3797,16.9563,1.5444,4.9064,0.8875
2023-08-21,USD,0.9224,0.7874,147.842,1.3489,17.1985,1.5525,4.9989,0.8992
2023-08-22,USD,0.9223,0.8057,151.5717,1.3858,17.1485,1.56,4.9623,0.9083
2023-08-23,USD,0.9287,0.7749,152.2705,1.3832,17.0834,1.544,4.9437,0.9177
2023-08-24,USD,0.9153,0.7936,147.228,1.347,16.9605,1.5567,4.9165,0.887
2023-08-25,USD,0.9217,0.7761,149.1276,1.3602,17.5392,1.5602,4.9201,0.8937
2023-08-28,USD,0.9101,0.783,147.5841,1.3393,17.4762,1.5089,4.9813,0.9152
2023-08-29,USD,0.9198,0.7927,151.9004,1.3447,17.0815,1.5557,4.9968,0.9175
2023-08-30,USD,0.9035,0.7924,150.7439,1.346,17.3904,1.5166,4.9415,0.8954
2023-08-31,USD,0.9203,0.7934,148.3174,1.3458,17.3629,1.5021,5.0462,0.8856
2023-09-01,USD,0.911,0.7746,148.1987,1.3368,17.1682,1.5008,4.8922,0.8847
2023-09-04,USD,0.9295,0.8001,150.0096,1.3636,17.3593,1.5027,4.9203,0.9155
2023-09-05,USD,0.9158,0.8034,149.0885,1.3336,17.4174,1.5334,5.043,0.8902
2023-09-06,USD,0.912,0.7964,148.7928,1.3785,17.4465,1.5343,4.9204,0.8951
2023-09-07,USD,0.9067,0.8057,148.4746,1.3591,16.9568,1.5323,4.9365,0.9078
2023-09-08,USD,0.9136,0.7831,148.1929,1.3653,17.2068,1.56,4.987,0.9067
2023-09-11,USD,0.9096,0.7974,152.0421,1.3803,17.0495,1.5245,4.8824,0.9129
2023-09-12,USD,0.935,0.8,148.6732,1.3417,17.3375,1.5245,4.8908,0.9154
2023-09-13,USD,0.9066,0.7837,147.1759,1.3807,16.8709,1.5092,4.9491,0.9076
2023-09-14,USD,0.9367,0.8051,152.4053,1.3665,16.9106,1.546,4.9602,0.9176
2023-09-15,USD,0.9021,0.7879,147.8774,1.3489,17.2069,1.5059,5.0008,0.9131
2023-09-18,USD,0.9306,0.777,147.2415,1.3726,17.4606,1.5047,4.9328,0.9012
2023-09-19,USD,0.9164,0.8027,149.6378,1.3454,17.33,1.5546,4.871,0.9175
2023-09-20,USD,0.9242,0.7906,148.4202,1.3791,17.0192,1.5285,4.88,0.8966
2023-09-21,USD,0.931,0.7927,147.4048,1.3603,17.4165,1.5441,4.9385,0.8869
2023-09-22,USD,0.9188,0.8016,149.7653,1.3584,17.4968,1.5105,4.9235,0.8978
2023-09-25,USD,0.9235,0.7899,150.7539,1.377,17.1943,1.52,4.9375,0.8867
2023-09-26,USD,0.9362,0.7771,151.4326,1.3782,17.4615,1.5248,4.9236,0.9038
2023-09-27,USD,0.9273,0.7922,152.0253,1.3793,17.1161,1.5557,5.0254,0.9069
2023-09-28,USD,0.9124,0.8052,151.3894,1.3845,16.8852,1.542,5.0429,0.8951
2023-09-29,USD,0.9303,0.805,151.3695,1.3475,17.2743,1.5163,4.9963,0.9074
2023-10-02,USD,0.9297,0.7967,147.1836,1.3334,16.8607,1.5371,4.9768,0.8987
2023-10-03,USD,0.9253,0.7861,150.5949,1.3519,17.2808,1.5182,4.8899,0.8998
2023-10-04,USD,0.9234,0.8017,151.4435,1.3536,17.5223,1.5223,5.0611,0.9129
2023-10-05,USD,0.9241,0.7764,149.6791,1.3745,17.3494,1.5111,4.9238,0.9086
2023-10-06,USD,0.9276,0.7987,147.6185,1.3758,17.0825,1.5165,5.0665,0.8836
2023-10-09,USD,0.9145,0.7835,150.2631,1.3597,17.1967,1.5031,5.0591,0.9012
2023-10-10,USD,0.9195,0.7973,148.9929,1.3344,17.1679,1.546,4.9867,0.9133
2023-10-11,USD,0.9148,0.8006,151.8726,1.3587,17.2417,1.5515,4.9427,0.9067
2023-10-12,USD,0.9055,0.802,150.2707,1.3418,17.5274,1.5024,4.9741,0.902
2023-10-13,USD,0.9262,0.7973,151.0235,1.3568,17.3798,1.5535,4.8781,0.8932
2023-10-16,USD,0.9314,0.7757,149.6557,1.3346,17.533,1.5344,4.9989,0.9059
2023-10-17,USD,0.9193,0.7802,146.614,1.341,17.335,1.5216,4.9765,0.9031
2023-10-18,USD,0.9343,0.802,147.3645,1.3334,16.8879,1.5583,5.0254,0.9034
2023-10-19,USD,0.9261,0.7954,148.8393,1.3653,17.3681,1.5492,4.9678,0.892
2023-10-20,USD,0.9318,0.7851,150.7831,1.343,17.0015,1.552,4.8723,0.9177
2023-10-23,USD,0.9273,0.7821,151.153,1.3569,17.2584,1.5255,5.0073,0.8899
2023-10-24,USD,0.9358,0.8015,147.2866,1.371,17.1042,1.5526,4.8863,0.9108
2023-10-25,USD,0.9246,0.804,149.6419,1.3771,17.2299,1.5429,4.9819,0.887
2023-10-26,USD,0.9114,0.7995,150.8881,1.3768,17.4914,1.5355,4.8873,0.8886
2023-10-27,USD,0.9343,0.7895,148.2924,1.3439,16.8791,1.5115,4.9381,0.907
2023-10-30,USD,0.9121,0.7743,150.4439,1.3833,16.9877,1.5304,5.0556,0.8909
2023-10-31,USD,0.9291,0.8015,149.0227,1.3489,17.4482,1.5018,4.9321,0.899
2023-11-01,USD,0.9308,0.7925,148.8969,1.345,17.3315,1.5411,5.0376,0.8837
2023-11-02,USD,0.9235,0.7894,146.8148,1.3395,16.869,1.5302,5.0454,0.9057
2023-11-03,USD,0.9203,0.791,147.4644,1.3706,17.3541,1.5184,4.8768,0.897
2023-11-06,USD,0.914,0.8019,151.911,1.3368,16.9112,1.507,4.8946,0.9003
2023-11-07,USD,0.9069,0.8037,152.2764,1.3393,16.9559,1.5224,4.8846,0.8865
2023-11-08,USD,0.9321,0.7986,149.7658,1.3781,16.8706,1.5462,4.9899,0.9039
2023-11-09,USD,0.9369,0.8035,149.6311,1.3704,17.1819,1.5374,4.8767,0.8893
2023-11-10,USD,0.9168,0.7751,149.2531,1.3572,17.1264,1.5157,5.0625,0.8842
2023-11-13,USD,0.908,0.7865,148.5929,1.3766,16.9768,1.4997,4.9246,0.9004
2023-11-14,USD,0.9121,0.7944,146.9883,1.3725,16.8946,1.5316,4.9002,0.8898
2023-11-15,USD,0.9201,0.7983,147.6659,1.3583,16.9423,1.5058,4.9723,0.9048
2023-11-16,USD,0.9254,0.7917,150.6568,1.3812,17.3396,1.5186,4.9185,0.9169
2023-11-17,USD,0.9245,0.7893,152.1248,1.3701,17.034,1.5427,4.9512,0.9122
2023-11-20,USD,0.9214,0.7915,146.8296,1.3481,16.9048,1.5586,4.9891,0.9118
2023-11-21,USD,0.9138,0.8047,151.5881,1.3647,17.2997,1.5139,4.8833,0.9137
2023-11-22,USD,0.911,0.7946,148.1569,1.3865,17.2885,1.5516,5.0621,0.9021
2023-11-23,USD,0.9298,0.8022,147.0033,1.3551,17.2377,1.5293,5.023,0.8919
2023-11-24,USD,0.9337,0.7767,147.0928,1.3394,17.3417,1.5351,4.933,0.904
2023-11-27,USD,0.9299,0.7911,151.5747,1.3387,16.949,1.517,4.9487,0.9057
2023-11-28,USD,0.9366,0.7918,149.2015,1.3621,17.2257,1.5376,4.9699,0.9106
2023-11-29,USD,0.9197,0.7749,149.8682,1.3457,16.9705,1.5604,4.9064,0.8872
2023-11-30,USD,0.925,0.8048,147.3358,1.3797,17.097,1.5086,4.9241,0.9117
2023-12-01,USD,0.9128,0.7781,150.7562,1.3857,17.2456,1.5071,5.0421,0.8939
2023-12-04,USD,0.9383,0.7881,150.0978,1.3608,16.8854,1.5181,4.9887,0.8984
2023-12-05,USD,0.9199,0.7783,147.8078,1.3335,17.1859,1.5546,5.0357,0.9028
2023-12-06,USD,0.937,0.7885,151.4889,1.3574,17.4297,1.5318,4.9231,0.892
2023-12-07,USD,0.919,0.797,152.4297,1.3549,17.1767,1.5579,5.0052,0.8863
2023-12-08,USD,0.912,0.7964,150.543,1.3716,17.5045,1.5372,5.0275,0.8887
2023-12-11,USD,0.9285,0.7927,150.9879,1.3752,17.2232,1.5498,4.8788,0.8947
2023-12-12,USD,0.9353,0.7877,147.1981,1.378,17.3089,1.5123,4.9765,0.8938
2023-12-13,USD,0.9206,0.7952,151.254,1.3347,17.2901,1.5536,5.0392,0.9035
2023-12-14,USD,0.9301,0.7825,150.5479,1.3665,17.5288,1.5215,5.0467,0.8997
2023-12-15,USD,0.9063,0.7871,148.8806,1.336,17.142,1.5413,5.0196,0.8979
2023-12-18,USD,0.9064,0.8037,149.3628,1.3644,16.9207,1.5159,4.9024,0.9054
2023-12-19,USD,0.9206,0.805,151.4461,1.3815,16.9202,1.5413,4.9558,0.8924
2023-12-20,USD,0.9159,0.8025,152.4065,1.335,16.9306,1.5119,5.047,0.8998
2023-12-21,USD,0.9079,0.7865,147.3334,1.3408,17.1703,1.5027,4.9294,0.8904
2023-12-22,USD,0.9297,0.7997,150.6107,1.3816,17.3334,1.508,5.0352,0.9145
2023-12-25,USD,0.9153,0.7956,149.5706,1.3362,17.3491,1.5275,4.9946,0.907
2023-12-26,USD,0.9154,0.7927,150.1145,1.3587,17.0942,1.5458,4.9771,0.8972
2023-12-27,USD,0.9125,0.7889,149.7769,1.3855,17.078,1.522,4.8888,0.9012
2023-12-28,USD,0.9224,0.7948,147.8874,1.3776,17.0489,1.5118,4.9394,0.8895
2023-12-29,USD,0.934,0.7976,147.5221,1.3487,17.4541,1.5041,5.0127,0.8841
2024-01-01,USD,0.9281,0.7852,150.7965,1.3729,17.3687,1.5166,4.9046,0.9162
2024-01-02,USD,0.9107,0.7829,147.9805,1.3495,17.1407,1.5551,4.9716,0.9084
2024-01-03,USD,0.9238,0.7809,148.4088,1.3663,17.1397,1.5433,4.9416,0.9092
2024-01-04,USD,0.9372,0.7813,148.9256,1.3395,17.1951,1.5346,4.9944,0.9111
2024-01-05,USD,0.9112,0.7893,151.5822,1.3543,17.2867,1.5401,4.9635,0.8821
2024-01-08,USD,0.9181,0.805,148.098,1.338,16.8578,1.511,4.9437,0.9004
2024-01-09,USD,0.9156,0.7803,146.6958,1.3371,17.3852,1.5434,4.9653,0.9023
2024-01-10,USD,0.9379,0.779,151.9075,1.3565,17.3374,1.5061,5.0576,0.8898
2024-01-11,USD,0.9066,0.7807,150.1238,1.338,17.4562,1.5009,5.0537,0.8877
2024-01-12,USD,0.9375,0.7764,148.6243,1.3446,17.5097,1.5127,4.9564,0.8834
2024-01-15,USD,0.9216,0.8033,147.6495,1.3557,17.1985,1.5501,4.9664,0.8927
2024-01-16,USD,0.9033,0.7976,146.7974,1.3425,17.2847,1.5555,5.0063,0.9117
2024-01-17,USD,0.9045,0.7945,152.4303,1.386,17.1697,1.5569,5.0426,0.9014
2024-01-18,USD,0.911,0.7932,147.3028,1.3672,17.1638,1.5379,5.0369,0.9074
2024-01-19,USD,0.9267,0.7891,148.0846,1.3532,17.4141,1.5471,4.8898,0.8928
2024-01-22,USD,0.9154,0.784,149.6037,1.3734,16.8729,1.5226,5.0681,0.9159
2024-01-23,USD,0.9128,0.782,147.9383,1.3543,17.1481,1.5168,4.893,0.9111
2024-01-24,USD,0.935,0.7831,150.1693,1.352,17.4592,1.5278,4.9411,0.8909
2024-01-25,USD,0.9317,0.7876,150.6002,1.3765,17.3272,1.5186,4.8717,0.8943
2024-01-26,USD,0.9232,0.7798,147.7154,1.3866,17.3625,1.519,4.954,0.9095
2024-01-29,USD,0.9061,0.7814,150.2743,1.3831,17.1424,1.5593,4.9155,0.9079
2024-01-30,USD,0.9249,0.793,151.9543,1.3514,17.0202,1.5493,4.9089,0.8938
