loan_id,customer_id,loan_type,principal_amount,interest_rate,term_months,start_date,loan_status,monthly_payment,outstanding_balance
126,1150,personal,280314.93,4.62,48,"Jan 22, 2018",Current,6407.31,
127,1080,auto,9286.45,11.92,360,09/29/2022,delinquent,94.95,5493.59
128,1176,student,23974.37,4.46,48,06-Oct-2021,Default,,21956.96
129,1181,mortgage,"$22,506.40",0.1687,48,12/08/2021,Paid Off,647.91,9897.02
130,1129,mortgage,274679.19,0.0649,24,2022-10-26,Current,12234.69,41956.02
131,1105,personal,875634,0.0944,120,"Sep 06, 2020",In Review,113.02,5160.0
132,1028,Student,7045064,12.66,48,2022-10-12,DEFAULT,,32817.0
133,1053,PERSONAL,108796.77,16.41,180,06/08/2020,Paid Off,1629.11,
134,1117,auto,11348.63,0.1118,24,2021-09-06,paid_off,529.88,6094.16
135,1175,MORTGAGE,"$12,782.03",15.98,60,08-Oct-2020,default,310.7,1532.18
136,1148,student,"$5,696.73",7.19,36,24-Jul-2019,current,176.39,3854.91
137,1108,mortgage,"$12,186.41",13.19,24,08-Jul-2022,default,580.45,8996.34
138,1190,PERSONAL,86920.31,0.1618,120,06-Jan-2021,default,,
139,1020,mortgage,2662278,17.37,180,09/29/2018,CURRENT,,25326.73
140,1105,auto,21014.5,0.1195,120,12/01/2018,Delinquent,300.89,20177.89
141,1147,student,"$4,140.20",8.91%,120,12/22/2022,current,52.24,2247.36
142,1172,auto,2388690,9.46,180,02-Aug-2019,paid_off,248.86,16520.12
143,1167,Personal,1792273,3.29%,12,10-Dec-2021,in_review,,9021.6
144,1010,Student,6100764,3.55%,120,04/16/2020,Default,604.71,51634.65
145,1034,PERSONAL,"$314,980.41",4.84%,120,11/17/2021,paid_off,3316.28,306097.5
146,1154,Student,8277520,0.0667,12,2020-06-12,current,7149.68,41419.32
147,1102,personal,30059871,10.14,12,"Apr 03, 2023",default,,212752.26
148,1168,Student,"$355,490.08",0.07,12,07-Nov-2019,in_review,30759.4,280158.15
149,1033,mortgage,2131717,17.05,360,2022-12-03,in_review,304.78,7803.16
150,1196,mortgage,"$8,768.54",15.66%,60,"Feb 14, 2021",Paid Off,211.65,1764.09
151,1071,MORTGAGE,34662148,0.1566,360,2019-10-07,Default,4566.31,194684.4
152,1016,PERSONAL,"$42,154.70",0.1092,24,08-Nov-2022,Paid Off,,38812.39
153,1075,personal,"$11,835.66",0.0558,24,04/04/2019,Default,,7917.58
154,1136,Student,"$19,668.75",14.12,360,03/13/2023,CURRENT,234.92,4595.89
155,1171,Personal,430576,6.06,120,11/30/2018,current,,
156,1034,auto,"$9,932.87",7.55,180,31-Mar-2018,Current,92.36,6285.88
157,1117,Mortgage,243023.6,0.1596,12,06-Nov-2022,DEFAULT,22045.14,179007.05
158,1081,Personal,17491610,0.1556,180,01/18/2022,in_review,2515.54,104242.48
159,1189,AUTO,2061355,5.84%,60,10-Oct-2019,Delinquent,396.99,15918.38
160,1193,Student,5827.87,15.86,120,05/02/2020,delinquent,97.12,2740.34
161,1031,PERSONAL,25184.66,14.41,36,13-Jun-2023,paid_off,865.78,23818.49
162,1116,Auto,26714.5,14.13%,24,"Mar 21, 2019",in_review,1284.28,11835.42
163,1047,AUTO,13340.02,17.12,24,08-May-2021,default,660.33,3643.59
164,1086,PERSONAL,4503.59,14.66%,36,"Sep 05, 2021",Current,155.37,2443.62
165,1197,Mortgage,8994.57,12.49,360,07-Dec-2021,Paid Off,95.93,7483.13
166,1184,Personal,562322,0.1651,12,18-Dec-2021,CURRENT,511.56,4459.17
167,1027,PERSONAL,"$109,519.45",16.05%,360,02/28/2018,DEFAULT,1477.19,12985.7
168,1016,Personal,"$5,340.47",0.0627,24,2018-08-13,Current,237.34,5101.31
169,1198,Personal,"$22,817.07",11.16,360,"Nov 13, 2020",current,220.06,4440.01
170,1094,auto,5597.57,16.09%,36,16-Feb-2022,delinquent,197.04,5206.7
171,1057,MORTGAGE,81975.53,10.17,24,12-Oct-2019,default,3789.19,21106.78
172,1141,student,23566.18,0.1363,360,09-May-2018,DEFAULT,272.34,12581.34
173,1157,Mortgage,17452.56,15.66%,180,04/09/2020,Current,252.2,5771.39
174,1048,Personal,242754.37,4.60%,48,"May 21, 2022",current,5546.58,119071.09
175,1187,Personal,"$73,774.75",3.67,48,23-Jan-2018,CURRENT,1654.89,67503.84
176,1009,MORTGAGE,4741.98,0.1561,48,05/06/2022,DELINQUENT,133.44,990.47
177,1065,PERSONAL,211114.56,0.0469,60,23-Jun-2020,DEFAULT,3954.08,187956.39
178,1058,mortgage,34918863,13.74,24,"Jan 10, 2022",DELINQUENT,16722.69,190319.62
179,1141,auto,10087.28,0.0453,36,03/05/2020,current,300.2,4584.89
180,1163,auto,10300.97,9.95,48,09-Dec-2021,In Review,261.01,2438.2
181,1069,Personal,54567.18,7.02,180,"Apr 30, 2019",default,,27240.98
182,1199,PERSONAL,7661044,0.0932,60,"Sep 01, 2019",in_review,1602.23,51758.79
183,1176,PERSONAL,193086.33,0.171,48,02/10/2019,in_review,5581.51,115330.72
184,1082,MORTGAGE,164676.9,11.56%,36,12/31/2019,CURRENT,5435.09,147134.51
185,1181,personal,44416.71,0.142,24,28-Jun-2023,DEFAULT,2136.77,38302.5
186,1186,MORTGAGE,"$53,237.63",0.1766,360,"Jul 02, 2019",Delinquent,787.57,34381.05
187,1033,personal,"$352,952.39",0.1461,24,04-Sep-2019,DELINQUENT,17048.15,152015.24
188,1132,student,82120.51,0.0305,60,2023-06-12,Paid Off,1477.42,39529.01
189,1125,auto,58129.70,8.32,180,2018-08-30,default,566.31,55520.34
190,1136,AUTO,42220.81,3.73,12,"Nov 02, 2022",in_review,3589.89,8628.3
191,1024,Personal,49258.53,0.0998,48,07/07/2021,paid_off,,8843.54
192,1178,mortgage,817861,5.97%,180,2023-02-22,Current,68.88,5991.84
193,1195,AUTO,272748.37,16.41%,180,2023-06-09,DEFAULT,,239772.37
194,1085,PERSONAL,"$21,803.51",13.38,12,"May 29, 2021",Current,,4225.39
195,1066,auto,22109.95,0.0872,12,02/23/2018,in_review,1930.68,
196,1012,MORTGAGE,"$13,216.58",3.05,180,2020-11-16,PAID,91.59,12166.25
197,1023,auto,"$288,711.34",13.34%,360,2020-04-15,PAID,3270.63,100153.62
198,1153,personal,11058826,0.0873,24,2020-10-20,PAID,5038.51,101154.47
199,1051,PERSONAL,4014.13,0.1381,12,11/23/2018,Default,360.06,894.31
200,1130,Auto,323790.92,0.0452,24,03/09/2018,DELINQUENT,14135.66,294763.92
201,1176,auto,"$28,949.38",0.1354,180,01/15/2018,DEFAULT,,9025.13
202,1153,personal,84136.90,0.0674,12,2022-12-07,Default,7270.01,71075.34
203,1159,Auto,2229308,8.65,180,19-Mar-2021,current,221.49,2784.11
204,1102,student,26388009,13.91,12,"May 23, 2019",PAID,23681.86,105072.78
205,1021,Auto,21820.54,0.0496,60,"Sep 28, 2022",delinquent,411.38,
206,1024,auto,14911.59,0.139,120,15-Jun-2018,DEFAULT,230.63,6276.37
207,1146,personal,8989771,0.1266,24,2018-11-03,PAID,4259.56,77306.83
208,1153,Mortgage,1735468,14.49,180,"Mar 05, 2022",PAID,236.86,14839.86
209,1037,mortgage,"$89,779.35",12.02%,120,2020-01-03,Default,,62303.92
210,1004,Auto,"$23,097.59",0.1192,12,2023-02-17,paid_off,2051.33,22654.68
211,1156,mortgage,75070.52,17.91%,12,2023-01-03,In Review,,34904.42
212,1156,Personal,"$65,096.50",14.35%,36,2018-02-23,DELINQUENT,2235.93,
213,1109,AUTO,115577.95,0.0453,360,2019-12-27,DEFAULT,587.68,102778.97
214,1019,Auto,84004.07,15.29%,60,11-Oct-2020,delinquent,2011.26,66429.64
215,1046,AUTO,27391.59,15.28,36,"Jul 18, 2020",current,953.3,3489.58
216,1101,Student,"$13,017.11",9.39%,60,2022-04-09,paid_off,272.68,6937.8
217,1121,Mortgage,352079.13,13.13,120,07/02/2021,Current,5283.95,
218,1198,personal,296171.63,15.68%,48,"Apr 09, 2023",In Review,8345.13,195126.01
219,1001,Personal,293332.56,7.31%,48,2019-05-06,Default,7066.48,292894.96
220,1149,Auto,23907.60,10.81,48,"Sep 29, 2021",Default,615.7,3809.04
221,1159,Auto,71290.55,13.80%,48,2021-04-09,current,1940.97,9833.8
222,1123,Auto,"$16,606.36",10.79,120,11-Sep-2018,delinquent,226.78,8976.6
223,1135,Mortgage,4903.74,16.22%,360,"Oct 03, 2019",delinquent,66.81,2628.88
224,1129,student,76458.62,7.42%,360,2023-03-28,DEFAULT,530.43,61384.83
225,1162,Auto,223266.47,11.0,360,10/08/2021,PAID,2126.22,200360.36
226,1160,PERSONAL,8470.42,10.32,120,"Apr 04, 2021",in_review,113.44,3819.78
227,1149,mortgage,263849.62,0.1065,180,05/05/2021,delinquent,2941.17,85121.92
228,1151,student,54752.42,15.31,12,18-Jul-2021,default,,21741.28
229,1035,personal,27204.45,0.1385,180,2022-03-12,Paid Off,359.56,17254.83
230,1051,Mortgage,"$20,450.11",0.1168,180,11/02/2020,paid_off,241.24,13798.41
231,1098,PERSONAL,8072.69,6.38,120,06-Nov-2020,Default,91.17,1678.01
232,1026,AUTO,1263012,0.1094,180,12/01/2021,CURRENT,143.08,7352.94
233,1182,Mortgage,587607,0.1022,36,07/20/2019,CURRENT,190.21,989.16
234,1187,student,5596.05,5.32,60,03/16/2021,DEFAULT,106.43,3729.88
235,1099,Mortgage,17350.88,14.51,48,"Mar 28, 2022",In Review,478.59,8759.68
236,1095,Mortgage,"$4,062.28",5.47,36,08-Apr-2021,DELINQUENT,122.61,2200.53
237,1152,Auto,5494181,0.0618,360,"Mar 07, 2020",Current,335.79,31299.23
238,1153,Student,23104.69,13.9,24,"Mar 13, 2023",Default,1108.23,
239,1179,Auto,"$24,919.95",0.1002,120,13-Oct-2022,delinquent,329.6,6888.95
240,1175,auto,"$10,449.46",4.32,12,2019-01-01,Default,,6455.19
241,1114,auto,164537.79,8.03,360,12/06/2018,Current,1210.76,41764.54
242,1192,Mortgage,161476.48,0.0858,12,"Mar 14, 2021",Paid Off,14089.93,145912.0
243,1145,mortgage,2219588,0.0597,360,11/07/2020,default,132.65,15735.71
244,1051,AUTO,15351.23,11.07%,24,2019-01-25,Paid Off,715.99,8524.03
245,1007,PERSONAL,22758.00,11.67%,360,2022-09-06,Current,228.33,8251.87
246,1105,Auto,201029.72,0.1528,36,2020-10-29,Default,6996.36,162265.63
247,1095,mortgage,4530836,0.1221,24,2018-06-04,In Review,2137.27,8209.42
248,1186,MORTGAGE,306069.26,16.14,24,05-Jan-2022,current,15006.59,296227.77
249,1061,MORTGAGE,"$29,724.23",0.0461,120,07/29/2022,default,309.64,27466.05
250,1088,Student,8519382,3.82%,12,"Nov 04, 2019",DELINQUENT,7247.24,75656.14
251,1022,MORTGAGE,77550.71,0.0915,12,08/16/2018,paid_off,6787.32,11477.36
252,1184,mortgage,23706.72,10.05%,180,"Jun 19, 2021",in_review,255.48,19598.9
253,1155,PERSONAL,"$225,726.10",0.0328,360,2021-06-17,default,986.09,170533.05
254,1061,Auto,41021.90,17.35%,180,2020-03-16,Current,,36146.93
255,1054,MORTGAGE,2678494,0.1467,12,06/23/2023,Paid Off,2413.39,17643.74
256,1200,personal,89904.31,0.0972,48,25-Nov-2021,current,,66611.84
257,1148,mortgage,53250.04,0.0674,36,"Jan 21, 2018",in_review,1637.88,
258,1052,auto,169150.47,3.32%,12,"Oct 03, 2018",In Review,14350.65,141841.95
259,1117,PERSONAL,6250248,12.07,60,05/16/2022,Delinquent,1392.55,15378.47
260,1090,MORTGAGE,55982.56,12.86%,48,03-Sep-2019,PAID,1497.98,51904.09
261,1115,Mortgage,15970.07,0.0617,48,2021-03-25,current,376.3,5190.18
262,1037,auto,22897361,13.91%,120,2022-05-21,In Review,3542.81,128849.07
263,1135,MORTGAGE,"$4,783.74",15.42%,360,2022-05-26,CURRENT,62.1,3179.83
264,1089,auto,8957.24,16.97,36,01/24/2021,CURRENT,319.22,1569.44
265,1029,student,78616.42,16.88,12,"May 04, 2018",In Review,7165.71,61671.32
266,1009,PERSONAL,5724.30,0.1416,36,"Oct 24, 2018",in_review,,3351.45
267,1197,PERSONAL,2018883,15.18,60,2020-11-03,Default,482.2,15861.77
268,1180,PERSONAL,14016.16,0.0369,48,02/05/2020,default,314.53,9722.85
269,1121,auto,16842.81,0.0459,120,2022-03-17,paid_off,,3691.02
270,1194,auto,8395832,8.15,36,"Apr 08, 2020",current,,71113.03
271,1172,personal,2572285,6.98%,12,2019-12-13,Current,,20420.0
272,1155,auto,"$49,089.25",7.72%,120,11-Dec-2018,Delinquent,588.35,31502.42
273,1094,Personal,56392.64,17.81%,24,2018-07-23,Current,2810.18,10076.46
274,1157,Student,13035.33,16.98,48,08/16/2019,Paid Off,376.0,3175.75
275,1091,auto,54322.54,11.89%,36,2020-06-02,Delinquent,1801.43,45132.4
276,1013,PERSONAL,"$21,472.20",3.46,360,"Apr 13, 2023",CURRENT,95.94,10978.27
277,1097,personal,"$300,855.37",16.20%,12,05-Jul-2019,Current,27325.35,203051.21
278,1030,Personal,"$16,961.15",0.1377,24,05/24/2022,default,812.51,13855.34
279,1100,Auto,20781.75,11.28,60,2021-04-27,Paid Off,454.75,11104.48
280,1092,student,2321849,0.1794,36,2018-12-11,current,838.71,16926.26
281,1082,Mortgage,24662945,14.38%,60,02-Dec-2021,DEFAULT,5787.34,222622.82
282,1078,PERSONAL,10862.41,3.21%,12,06/14/2021,Default,921.02,3127.18
283,1044,Mortgage,1146167,4.41,360,30-Jul-2018,Current,57.46,4298.1
284,1195,Mortgage,20250.16,0.1139,36,"Nov 25, 2020",delinquent,,7635.76
285,1147,Personal,5268112,0.1734,120,11/03/2020,Current,926.97,18032.01
286,1027,MORTGAGE,"$325,914.41",16.58%,120,2018-03-20,In Review,,198527.22
287,1086,Auto,318539.12,0.1324,120,2023-02-26,Current,4801.33,170484.77
288,1199,mortgage,"$340,668.87",11.06,12,"Feb 17, 2019",default,30118.41,303630.08
289,1092,student,168411.95,0.0622,24,16-Sep-2022,CURRENT,,
290,1151,AUTO,82799.51,3.98%,24,"May 06, 2018",CURRENT,3594.83,
291,1146,personal,22113028,16.24%,48,"May 01, 2020",current,,115391.61
292,1124,Personal,"$13,945.86",0.1093,36,"Aug 30, 2020",In Review,,13362.63
293,1138,student,54261.27,16.17%,24,"May 04, 2018",In Review,2661.21,34400.85
294,1170,MORTGAGE,8393038,4.1,120,"Jan 31, 2020",CURRENT,853.75,37007.02
295,1157,student,4642.59,0.1411,24,17-May-2020,default,223.15,4208.78
296,1054,auto,592642,17.69%,36,"Apr 21, 2022",delinquent,,5817.44
297,1146,mortgage,7548936,12.23,12,2018-04-15,paid_off,6715.26,70567.84
298,1067,personal,1996868,15.98,180,2019-07-09,default,,19327.08
299,1054,MORTGAGE,18439.83,0.0304,24,2018-05-29,DELINQUENT,792.89,16160.55
300,1138,Auto,586187,12.88,60,2021-06-08,Current,133.02,5820.86
