transaction_id,account_id,transaction_date,amount,transaction_type,category,description,merchant,currency,status
75,5392,"Apr 09, 2024",-4740.12,DR,Transfer,,,GBP,Completed
76,5196,29-Jan-2024,-2133.04,DR,Travel,Travel,null,USD,declined
77,5312,"Dec 11, 2023",-7194.14,DR,Direct Deposit,Netflix,Netflix,USD,Declined
78,5274,04/19/2024,6832.87,DEBIT,MEDICAL,Healthcare,Whole Foods,USD,C
79,5350,08-Oct-2023,7327.95,DR,Xfer,Transfer,Apple,USD,completed
80,5158,11/25/2023,4216.74,CR,PAYROLL,,CVS Pharmacy,USD,Completed
81,5297,03/23/2023,-9056.33,DEBIT,DD,DD,CVS Pharmacy,USD,failed
82,5090,05/31/2023,1088.13,CR,restaurants,Food & Dining,null,CAD,FAILED
83,5133,2023-09-21,5134.65,CREDIT,food & drink,Food & Dining,CVS Pharmacy,EUR,Complete
84,5105,30-Nov-2023,-7815.76,DR,purchase,N/A,N/A,USD,pending
85,5334,2024-01-19,5908.58,debit,Airline,Airline,Amazon,USD,F
86,5161,"Jun 07, 2024",-3599.6,Debit,shopping,Shopping,Whole Foods,USD,Declined
87,5271,02/22/2023,-3011.61,DEBIT,HOTEL,null,Shell,USD,Pending
88,5384,2023-04-29,6961.85,CREDIT,Bills,Netflix,Netflix,USD,failed
89,5248,08/24/2023,-2183.52,Debit,Hotel,United Airlines,United Airlines,USD,F
90,5147,2023-12-16,-775.23,Debit,Shopping,Shopping,CVS Pharmacy,USD,completed
91,5215,"Sep 27, 2023",-1201.65,debit,travel,,Netflix,MXN,Pending
92,5066,2024-02-16,2787.93,CREDIT,utility,Amazon,Amazon,USD,PENDING
93,5210,05-Apr-2024,-7198.01,Debit,Medical,,Amazon,USD,pending
94,5165,2024-03-25,6864.34,credit,cash,N/A,Shell,USD,C
95,5166,01/29/2024,-1695.77,DR,purchase,Shopping,Starbucks,EUR,C
96,5141,13-May-2024,-8410.93,DEBIT,airline,airline,Apple,USD,completed
97,5106,04-Jun-2024,5685.12,Credit,ATM,ATM,Amazon,CAD,C
98,5293,"Mar 12, 2024",7895.03,credit,TRAVEL,United Airlines,United Airlines,USD,completed
99,5071,13-Oct-2023,7634.79,Credit,wire transfer,Netflix,Netflix,USD,PENDING
100,5323,2024-06-09,8476.7,CREDIT,wire transfer,Transfer,Apple,USD,Complete
101,5071,01/21/2024,1859.75,CR,utility,utility,Starbucks,USD,failed
102,5046,12-Jun-2024,4126.59,Credit,Utilities,N/A,N/A,USD,failed
103,5299,"Aug 29, 2023",-5039.85,DEBIT,Retail,CVS Pharmacy,CVS Pharmacy,USD,P
104,5247,"Oct 30, 2023",-1068.38,DEBIT,Xfer,Transfer,Apple,USD,COMPLETED
105,5238,11/23/2023,6621.5,CR,wire transfer,Transfer,Apple,USD,C
106,5138,"Jun 03, 2024",-7437.08,DEBIT,UTILITIES,unknown,CVS Pharmacy,GBP,C
107,5028,10/02/2023,-3229.15,DEBIT,airline,Travel,Target,USD,Failed
108,5313,04-Dec-2023,-5128.25,debit,cash,ATM Withdrawal,Shell,USD,failed
109,5026,15-Jun-2024,-5087.45,DR,UTIL,Target,Target,USD,pending
110,5111,09/12/2023,8032.23,credit,Food & Dining,Amazon,Amazon,USD,C
111,5013,2023-08-24,2589.08,DR,Utilities,null,Walmart,MXN,Completed
112,5008,05-Jun-2023,-1846.5,DEBIT,Wire,Amazon,Amazon,USD,PENDING
113,5104,13-Apr-2023,3578.14,Credit,salary,salary,CVS Pharmacy,USD,pending
114,5009,"May 23, 2024",7245.89,CR,Medical,Medical,Amazon,USD,PENDING
115,5190,"May 03, 2024",3158.8,credit,xfer,xfer,Whole Foods,USD,completed
116,5073,17-Feb-2024,-560.8,DR,airline,null,Amazon,USD,Declined
117,5003,02-Oct-2023,5343.33,CR,UTILITIES,null,Whole Foods,USD,FAILED
118,5248,2024-06-10,4044.74,debit,TRANSFER,Transfer,CVS Pharmacy,EUR,declined
119,5218,22-May-2024,-7630.16,DR,CASH,Starbucks,Starbucks,USD,Failed
120,5191,19-Jun-2023,4971.36,CREDIT,ATM Withdrawal,ATM Withdrawal,Whole Foods,USD,COMPLETED
121,5269,04/30/2024,3955.46,credit,food & drink,Food & Dining,Whole Foods,USD,P
122,5235,05-Dec-2023,5937.62,credit,Transfer,Transfer,Whole Foods,USD,declined
123,5099,2023-10-09,-5552.87,DR,Salary,Salary,Target,USD,C
124,5092,"Sep 27, 2023",-7570.61,DR,transfer,transfer,Google,USD,COMPLETED
125,5002,08/26/2023,8830.77,Debit,Utilities,,Amazon,USD,pending
126,5341,28-Apr-2024,-4754.06,DR,SHOPPING,Shell,Shell,CAD,P
127,5041,2023-08-08,-7919.41,DR,CASH,unknown,Starbucks,USD,failed
128,5179,07/02/2023,8126.18,CREDIT,food & drink,unknown,Netflix,USD,Pending
129,5092,2023-01-11,-3430.06,DEBIT,Bills,Netflix,Netflix,USD,Completed
130,5332,"Oct 09, 2023",418.17,DEBIT,Hotel,,Amazon,USD,PENDING
131,5089,2024-04-29,-3511.2,Debit,Transfer,N/A,Target,USD,Declined
132,5062,2023-02-27,-2985.93,DEBIT,Travel,Google,Google,USD,Declined
133,5345,2023-11-21,-6860.57,debit,cash,ATM Withdrawal,Apple,USD,Complete
134,5390,05/28/2024,2533.77,debit,CASH,ATM Withdrawal,United Airlines,USD,C
135,5141,12/26/2023,4429.93,credit,wire transfer,Transfer,Walmart,USD,COMPLETED
136,5163,21-Jan-2023,100.16,CR,ATM Cash,ATM Cash,Whole Foods,USD,FAILED
137,5387,16-May-2023,3604.07,DEBIT,Payroll,Payroll,Whole Foods,USD,COMPLETED
138,5152,"Sep 23, 2023",878.82,CREDIT,Airline,Airline,Netflix,USD,Completed
139,5300,30-Jan-2024,-5403.19,DR,cash,ATM Withdrawal,Google,USD,P
140,5396,"Aug 04, 2023",-4443.57,Debit,Direct Deposit,Payroll,Shell,USD,Pending
141,5360,04/18/2023,8559.83,CR,purchase,Walmart,Walmart,USD,C
142,5084,04/23/2024,207.6,CR,ATM Cash,CVS Pharmacy,CVS Pharmacy,USD,FAILED
143,5192,"Dec 12, 2023",2852.35,Credit,Hotel,Travel,Starbucks,USD,COMPLETED
144,5263,2023-06-20,9039.24,Debit,Direct Deposit,Amazon,Amazon,USD,F
145,5393,05/25/2023,3762.55,Debit,Retail,Retail,Walmart,USD,Declined
146,5105,2024-03-23,1465.16,CREDIT,Xfer,,Shell,USD,P
147,5352,02/08/2024,6350.48,Credit,Bills,,Shell,USD,F
148,5168,17-Oct-2023,3742.18,debit,MEDICAL,Shell,Shell,MXN,P
149,5001,"Feb 12, 2024",1312.62,Credit,Xfer,Xfer,Shell,USD,pending
150,5078,2023-10-19,-6415.42,DEBIT,Salary,unknown,United Airlines,USD,F
151,5043,"Dec 21, 2023",-7633.92,Debit,Wire,unknown,Amazon,GBP,pending
152,5395,25-Feb-2023,2457.91,CR,Salary,Google,Google,USD,completed
153,5092,"Mar 10, 2024",6410.15,CREDIT,health,null,Spotify,USD,Completed
154,5238,16-Oct-2023,-8245.15,debit,food,Food & Dining,Shell,USD,P
155,5137,"Jul 03, 2023",-3962.66,DEBIT,DD,DD,Amazon,USD,COMPLETED
156,5044,"Apr 07, 2023",-1374.98,DEBIT,CASH,ATM Withdrawal,Whole Foods,USD,completed
157,5168,2024-01-17,5789.25,credit,DINING,Google,Google,USD,declined
158,5327,2023-11-06,-213.62,DEBIT,medical,medical,United Airlines,USD,Failed
159,5134,07-Nov-2023,7590.26,CR,utility,utility,United Airlines,USD,C
160,5257,16-Feb-2023,6443.3,DR,healthcare,unknown,Starbucks,USD,Failed
161,5326,"Nov 22, 2023",2136.61,Credit,Xfer,,Google,USD,failed
162,5305,"Dec 03, 2023",8833.86,CREDIT,medical,null,Target,GBP,Complete
163,5273,2023-06-24,3828.51,credit,Medical,Medical,Shell,USD,FAILED
164,5272,01/14/2024,7133.4,CR,direct deposit,Spotify,Spotify,USD,Failed
165,5221,"Mar 01, 2024",5286.62,Credit,Restaurants,Food & Dining,Target,USD,completed
166,5203,08/12/2023,-5422.51,Debit,Utilities,unknown,Shell,USD,declined
167,5307,13-Oct-2023,3450.8,DR,purchase,unknown,CVS Pharmacy,GBP,COMPLETED
168,5091,"Feb 14, 2024",5060.79,CR,Payroll,N/A,Walmart,USD,pending
169,5211,07/13/2023,1317.3,credit,restaurants,restaurants,Shell,USD,Failed
170,5321,"Apr 28, 2024",-216.81,DR,wire transfer,Target,Target,USD,FAILED
171,5123,"Jun 29, 2023",3066.56,debit,airline,airline,Apple,USD,F
172,5091,2024-04-17,8284.94,Credit,wire transfer,Transfer,Walmart,USD,failed
173,5347,2024-02-21,-669.4,DEBIT,Hotel,,Spotify,USD,PENDING
174,5372,2023-03-03,-7869.1,debit,Salary,Salary,Walmart,USD,Declined
175,5135,25-Apr-2023,3923.07,Credit,ATM Withdrawal,ATM Withdrawal,Walmart,USD,PENDING
176,5364,18-May-2024,2470.74,CR,UTILITIES,Google,Google,USD,Failed
177,5019,05/24/2023,2740.8,CREDIT,cash,Starbucks,Starbucks,USD,PENDING
178,5366,2024-03-26,-7065.72,Debit,PAYROLL,PAYROLL,Whole Foods,USD,Failed
179,5156,06/01/2023,-3460.17,DR,Restaurants,Apple,Apple,USD,P
180,5192,2024-01-23,8272.56,CR,TRAVEL,unknown,unknown,USD,Complete
181,5159,2023-07-31,2644.72,credit,utilities,utilities,CVS Pharmacy,USD,FAILED
182,5104,2024-01-08,5951.19,credit,F&D,Food & Dining,Netflix,USD,PENDING
183,5291,06/19/2024,2433.43,Credit,utilities,Utilities,CVS Pharmacy,USD,Failed
184,5137,"Oct 12, 2023",-6966.97,Debit,Xfer,,Whole Foods,USD,completed
185,5275,2023-02-22,6022.47,credit,purchase,purchase,Whole Foods,USD,Failed
186,5250,"Nov 04, 2023",8180.96,Credit,F&D,Starbucks,Starbucks,MXN,PENDING
187,5324,30-Jun-2023,4591.67,DEBIT,retail,N/A,Apple,USD,completed
188,5388,"Jul 06, 2023",3033.15,CR,Travel,Walmart,Walmart,USD,completed
189,5227,"Dec 17, 2023",7398.74,Credit,atm,ATM Withdrawal,Shell,USD,failed
190,5154,"Aug 04, 2023",-1486.53,Debit,ATM Withdrawal,N/A,Netflix,USD,F
191,5372,03-Oct-2023,-4484.35,DEBIT,UTIL,null,Shell,USD,C
192,5218,2024-02-07,-7241.35,DR,Healthcare,Healthcare,Starbucks,USD,Complete
193,5339,"Sep 20, 2023",-225.93,DR,DD,Spotify,Spotify,USD,completed
194,5039,"Sep 06, 2023",6867.34,CR,ATM Withdrawal,ATM Withdrawal,United Airlines,USD,C
195,5311,"Jan 20, 2024",534.03,CREDIT,food,food,Walmart,USD,declined
196,5384,03/17/2023,-6958.53,Debit,purchase,CVS Pharmacy,CVS Pharmacy,USD,Failed
197,5280,09/24/2023,1335.3,CREDIT,Payroll,Payroll,CVS Pharmacy,USD,Pending
198,5240,"Aug 22, 2023",3164.28,DEBIT,hotel,,Apple,USD,pending
199,5250,19-Feb-2023,-154.9,debit,food & drink,CVS Pharmacy,CVS Pharmacy,USD,failed
200,5035,2023-03-19,5052.21,credit,TRANSFER,unknown,Whole Foods,USD,Declined
201,5142,"Apr 21, 2024",6179.56,CREDIT,TRAVEL,Travel,Google,CAD,pending
202,5295,"Oct 28, 2023",180.26,DR,F&D,F&D,Shell,USD,F
203,5295,30-Dec-2023,7343.65,Debit,atm,ATM Withdrawal,Netflix,USD,Pending
204,5162,08/24/2023,2878.53,DEBIT,utilities,N/A,Amazon,USD,completed
205,5193,2023-01-27,3614.58,DR,airline,airline,Walmart,USD,P
206,5297,2024-06-12,7188.0,CREDIT,transfer,Whole Foods,Whole Foods,MXN,PENDING
207,5131,2024-06-04,-154.37,DR,WIRE,,Starbucks,USD,Declined
208,5334,04-Nov-2023,-803.2,DR,utility,Utilities,Starbucks,USD,COMPLETED
209,5128,01-Jul-2023,4927.39,debit,DINING,Apple,Apple,MXN,Failed
210,5213,06/11/2023,-1659.88,Debit,healthcare,Healthcare,Walmart,USD,PENDING
211,5105,2023-11-10,3545.88,CREDIT,Health,,Shell,USD,Completed
212,5377,2023-05-28,5125.47,Debit,Healthcare,,Whole Foods,USD,completed
213,5058,02-May-2024,-8133.48,Debit,Hotel,Hotel,CVS Pharmacy,USD,Pending
214,5337,01/10/2024,4682.12,Credit,WIRE,WIRE,Target,USD,failed
215,5043,08-Apr-2023,8425.83,DEBIT,Medical,Medical,CVS Pharmacy,EUR,Pending
216,5217,01/19/2024,-6996.16,DR,cash,ATM Withdrawal,Amazon,USD,Declined
217,5122,"Jun 15, 2023",112.26,CREDIT,Medical,N/A,Spotify,USD,Complete
218,5233,27-Sep-2023,7077.38,CREDIT,travel,Target,Target,USD,F
219,5250,04/12/2024,7251.3,CREDIT,wire transfer,Transfer,Netflix,USD,Complete
220,5235,04/24/2023,1200.72,CR,xfer,unknown,Walmart,USD,Declined
221,5262,2023-07-19,6465.78,Credit,ATM Cash,Target,Target,USD,P
222,5118,"Jun 27, 2024",1508.96,Credit,ATM Withdrawal,ATM Withdrawal,Spotify,USD,C
223,5026,15-Feb-2024,8559.19,CR,Salary,Payroll,Google,USD,completed
224,5129,11/16/2023,-5825.0,debit,utility,N/A,Target,USD,F
225,5082,03/05/2024,1837.83,credit,MEDICAL,N/A,Starbucks,USD,completed
226,5372,05-Jun-2023,1353.74,CREDIT,Bills,Utilities,Netflix,USD,F
227,5322,27-Apr-2024,4164.15,CR,utility,Google,Google,USD,Completed
228,5196,2023-09-19,4046.72,CR,WIRE,Walmart,Walmart,USD,Complete
229,5341,21-May-2024,-539.14,DEBIT,medical,Healthcare,Starbucks,GBP,Completed
230,5052,"May 12, 2024",4702.78,DEBIT,bills,unknown,Spotify,USD,Completed
231,5309,2023-04-21,1116.88,CREDIT,TRANSFER,Google,Google,USD,failed
232,5226,2024-04-16,-7725.21,DR,F&D,Target,Target,USD,completed
233,5150,27-Feb-2024,8069.74,CREDIT,dining,null,Whole Foods,USD,F
234,5025,"Nov 29, 2023",7302.04,CREDIT,Airline,Travel,Target,USD,Pending
235,5181,08/22/2023,2906.13,credit,purchase,unknown,CVS Pharmacy,USD,Complete
236,5136,05/12/2024,-7656.22,Debit,SHOPPING,null,null,USD,declined
237,5260,31-Oct-2023,5875.86,credit,Cash,Target,Target,USD,pending
238,5069,01/30/2024,5827.88,CREDIT,xfer,xfer,Amazon,USD,failed
239,5141,01/27/2023,7916.02,Credit,airline,Travel,Whole Foods,USD,C
240,5125,"Jan 22, 2023",3938.58,Credit,HOTEL,unknown,Netflix,USD,FAILED
241,5134,01/08/2024,3517.8,Credit,Salary,Walmart,Walmart,USD,Declined
242,5360,09/10/2023,9319.62,CR,ATM,Spotify,Spotify,USD,FAILED
243,5360,08/18/2023,5455.89,CR,Airline,Travel,Walmart,CAD,P
244,5230,2023-02-28,8242.12,credit,Retail,null,Google,GBP,pending
245,5361,17-May-2023,-6287.45,DEBIT,healthcare,Healthcare,Netflix,USD,Failed
246,5028,01/02/2024,-5831.97,Debit,TRANSFER,Transfer,Target,USD,failed
247,5254,03-May-2023,-895.44,DR,Shopping,Shopping,Target,USD,completed
248,5160,12/30/2023,4089.0,credit,CASH,Whole Foods,Whole Foods,USD,failed
249,5325,25-Mar-2023,-7142.49,debit,Retail,Shopping,Amazon,USD,COMPLETED
250,5001,"Jun 25, 2024",3105.84,CREDIT,Food & Dining,Food & Dining,Whole Foods,USD,P
251,5112,2023-12-20,5697.72,CR,transfer,Transfer,CVS Pharmacy,USD,declined
252,5276,04-May-2023,-1024.75,Debit,direct deposit,unknown,Target,USD,declined
253,5338,02/03/2024,6353.03,CREDIT,travel,N/A,CVS Pharmacy,EUR,Completed
254,5184,"Mar 02, 2023",-8054.01,DR,travel,travel,Target,GBP,C
255,5321,"Mar 12, 2024",3582.76,CR,medical,CVS Pharmacy,CVS Pharmacy,USD,PENDING
256,5395,22-Oct-2023,-1787.56,Debit,Food & Dining,,Amazon,CAD,Complete
257,5181,"Feb 23, 2023",4830.05,CREDIT,Health,Health,Walmart,USD,declined
258,5114,2023-11-24,4705.62,debit,Xfer,Google,Google,USD,Completed
259,5124,05-Dec-2023,7852.61,DR,Cash,N/A,Spotify,USD,failed
260,5293,"Nov 14, 2023",-6998.28,debit,utility,Whole Foods,Whole Foods,USD,Failed
261,5006,2024-02-09,1225.31,credit,dining,dining,CVS Pharmacy,USD,P
262,5168,2023-06-21,2706.38,DEBIT,Salary,,Whole Foods,USD,Complete
263,5066,14-Jun-2024,4549.31,DR,dining,,Spotify,USD,FAILED
264,5074,03/28/2024,-7301.45,debit,restaurants,Starbucks,Starbucks,USD,PENDING
265,5103,27-Feb-2023,1455.27,credit,medical,N/A,Whole Foods,USD,Completed
266,5226,2023-03-13,-5021.76,Debit,bills,null,null,USD,P
267,5274,2023-01-18,-8861.67,Debit,CASH,ATM Withdrawal,N/A,USD,Declined
268,5199,"May 03, 2023",5969.09,credit,UTILITIES,CVS Pharmacy,CVS Pharmacy,USD,failed
269,5316,"Feb 01, 2024",6487.69,CREDIT,airline,Target,Target,USD,Complete
270,5074,10/21/2023,9491.84,CREDIT,Cash,ATM Withdrawal,Starbucks,USD,PENDING
271,5211,"Aug 21, 2023",-7981.45,DR,healthcare,unknown,CVS Pharmacy,USD,PENDING
272,5187,12/12/2023,3789.99,Credit,Purchase,Whole Foods,Whole Foods,USD,declined
273,5238,23-Feb-2024,2916.23,CR,Purchase,,CVS Pharmacy,USD,Completed
274,5103,08/11/2023,8454.39,DR,retail,unknown,unknown,USD,Failed
275,5342,06/26/2023,6092.12,Credit,PAYROLL,PAYROLL,CVS Pharmacy,USD,F
276,5250,11/20/2023,-7476.35,debit,food,food,Shell,USD,Complete
277,5158,09-Mar-2023,8637.92,CR,retail,Target,Target,USD,completed
278,5288,06/13/2023,3944.85,DR,atm,ATM Withdrawal,Starbucks,USD,failed
279,5076,"Mar 31, 2024",-1289.05,DR,Transfer,Transfer,Shell,USD,PENDING
280,5011,"May 18, 2024",9384.26,credit,SHOPPING,SHOPPING,Starbucks,USD,completed
281,5343,2023-07-21,6758.67,credit,SHOPPING,null,CVS Pharmacy,USD,COMPLETED
282,5187,09/16/2023,-2663.06,debit,bills,N/A,N/A,USD,C
283,5230,03/19/2024,2592.67,CR,Shopping,Shopping,Amazon,USD,FAILED
284,5294,20-Jan-2023,1897.4,DR,Salary,null,Shell,USD,pending
285,5363,2023-12-17,6831.89,CR,ATM Withdrawal,CVS Pharmacy,CVS Pharmacy,USD,Declined
286,5261,2023-04-27,-7659.35,Debit,DINING,Food & Dining,Whole Foods,USD,Completed
287,5371,2023-01-14,8634.75,CR,purchase,Shopping,Walmart,CAD,FAILED
288,5072,2023-07-24,-872.1,debit,transfer,N/A,Google,USD,Pending
289,5321,2024-06-26,7766.92,CR,Bills,N/A,Google,USD,COMPLETED
290,5260,01/07/2023,9254.83,Credit,transfer,transfer,Walmart,USD,Declined
291,5165,22-Aug-2023,-6035.69,DR,Cash,Cash,Starbucks,USD,P
292,5004,"Sep 15, 2023",-615.14,debit,PAYROLL,Payroll,Google,GBP,FAILED
293,5346,"Apr 01, 2023",7328.4,credit,retail,Shell,Shell,USD,FAILED
294,5246,15-Jan-2024,7252.66,Credit,Airline,N/A,Amazon,USD,PENDING
295,5237,11/29/2023,8252.61,Debit,medical,Amazon,Amazon,USD,pending
296,5324,"Jun 02, 2023",133.51,Debit,Medical,N/A,Amazon,USD,COMPLETED
297,5139,"Dec 12, 2023",4725.07,DEBIT,Utilities,unknown,CVS Pharmacy,USD,Declined
298,5082,"May 14, 2024",9133.71,CR,food & drink,food & drink,Netflix,GBP,pending
299,5252,14-Jan-2023,-3217.18,DR,PAYROLL,PAYROLL,Shell,USD,Pending
300,5290,"Apr 29, 2024",4247.8,Credit,Transfer,Shell,Shell,USD,P
301,5175,"Dec 06, 2023",9172.04,Credit,utilities,N/A,Whole Foods,USD,declined
302,5010,17-Nov-2023,7127.08,credit,Wire,Transfer,Google,USD,PENDING
303,5200,17-Jul-2023,3456.57,CR,PAYROLL,Amazon,Amazon,USD,Declined
304,5318,05/09/2024,2591.92,CREDIT,ATM Cash,ATM Withdrawal,Apple,USD,C
305,5376,03/04/2023,-7589.26,DR,bills,Whole Foods,Whole Foods,USD,Completed
306,5015,"Mar 07, 2024",-4417.46,Debit,wire transfer,Spotify,Spotify,USD,completed
307,5141,2024-04-11,-6710.11,Debit,Direct Deposit,Walmart,Walmart,USD,P
308,5245,2024-01-13,-7902.31,debit,ATM Withdrawal,Shell,Shell,USD,Pending
309,5290,2023-02-10,4718.93,Debit,DINING,Whole Foods,Whole Foods,USD,Pending
310,5174,2023-03-25,-7133.33,debit,Medical,Medical,Netflix,USD,PENDING
311,5082,04/29/2023,2273.78,debit,Direct Deposit,Direct Deposit,Amazon,USD,COMPLETED
312,5071,"May 27, 2024",3682.1,DR,SHOPPING,Shopping,Apple,USD,Completed
313,5103,2023-02-06,5536.44,CREDIT,utilities,Target,Target,USD,C
314,5285,2024-01-19,-7930.98,DEBIT,healthcare,United Airlines,United Airlines,USD,PENDING
315,5015,01-Apr-2024,1756.72,Credit,healthcare,healthcare,Google,USD,declined
